title,totalTime,ingredients,instructions,image
Keema Aloo (Ground Beef and Potatoes),80,"['2 tablespoons extra-virgin olive oil', '1 extra-large Spanish onion, chopped', '2 tablespoons water (optional)', '2 pounds lean ground beef', '4 cloves garlic, minced', '2 tablespoons grated fresh ginger root', '1 serrano chile pepper, finely chopped', '2 teaspoons chopped fresh cilantro', '1 tablespoon ground coriander', '1 1/2 teaspoons salt', '1 1/2 teaspoons ground cumin', '1 teaspoon ground cayenne pepper', '1 teaspoon ground turmeric', '1 (28 ounce) can diced tomatoes', '3 potatoes, peeled and diced', '1 cup frozen green peas', '1 teaspoon garam masala']","Heat olive oil in a large saucepan over medium-high heat. Cook and stir onion in the hot oil until soft and beginning to brown, about 12 minutes. If browned bits of onion are stuck to the bottom of the pan, stir water into onion and stir to loosen the browned bits.
Mix ground beef, garlic, ginger, serrano chile, and cilantro into pan; cook and stir until beef is browned and crumbly, 10 to 15 minutes. Reduce heat to medium-low. Stir coriander, salt, cumin, cayenne pepper, and turmeric into the beef; cook and stir until flavors blend, about 5 minutes. Add tomatoes and potatoes, cover pot, and simmer until potatoes are tender, about 15 minutes.
Mix green peas into dish and cook until sauce has slightly thickened and flavors have blended, 10 to 15 minutes. Sprinkle garam masala over the dish, cover, and let stand for 5 minutes before serving.
",https://images.media-allrecipes.com/userphotos/250x250/3902019.jpg
Roti Canai/Paratha (Indian Pancake),150,"['3/4 cup warm water', '1 teaspoon salt', '1 pinch white sugar', '4 3/4 cups all-purpose flour', '3 1/2 tablespoons clarified butter (ghee)', '1 egg', '1 teaspoon water', '2 tablespoons ghee (clarified butter), divided']","Mix warm water, salt, and sugar together in a bowl. Put flour in a large mixing bowl; work in 3 1/2 tablespoons ghee using your fingertips.
Beat egg and 1 teaspoon water together in a bowl; add to flour mixture. Gradually mix warm water mixture into flour mixture while kneading until dough becomes soft and pliable. Form dough into balls and let rest in a well-oiled bowl, 2 to 3 hours.
Working on a flat greased surface, take a dough ball and flatten it using the heel of your palm to make a paper-thin circle. Spread 1 teaspoon ghee inside it. Fold the edges together to make roti into a square. Repeat with remaining dough.
Heat about 1 tablespoon ghee on griddle or in a skillet over medium heat; cook roti until browned, 1 to 3 minutes per side.
",https://images.media-allrecipes.com/userphotos/250x250/3678414.jpg
Bibimbap (Korean Rice With Mixed Vegetables),60,"['1 English cucumber, cut into matchsticks', '1/4 cup gochujang (Korean hot pepper paste)', '1 bunch fresh spinach, cut into thin strips', '1 tablespoon soy sauce', '1 teaspoon olive oil', '2 carrots, cut into matchsticks', '1 clove garlic, minced', '1 pinch red pepper flakes', '1 pound thinly-sliced beef top round steak', '1 teaspoon olive oil', '4 large eggs', '4 cups cooked white rice', '4 teaspoons toasted sesame oil, divided', '1 teaspoon sesame seeds', '2 teaspoons gochujang (Korean hot pepper paste), divided (optional)']","Stir cucumber pieces with 1/4 cup gochujang paste in a bowl; set aside.
Bring about 2 cups of water to a boil in a large nonstick skillet and stir in spinach; cook until spinach is bright green and wilted, 2 to 3 minutes. Drain spinach and squeeze out as much moisture as possible; set spinach aside in a bowl and stir soy sauce into spinach.
Heat 1 teaspoon olive oil in large nonstick skillet and cook and stir carrots until softened, about 3 minutes; stir in garlic and cook just until fragrant, about 1 more minute. Stir in cucumber pieces with gochujang paste; sprinkle with red pepper flakes, and set the mixture aside in a bowl.
Brown beef in a clean nonstick skillet over medium heat, about 5 minutes per side, and set aside. In a separate nonstick skillet, heat 1 more teaspoon olive oil over medium-low heat and fry the eggs just on one side until yolks are runny but whites are firm, 2 to 4 minutes each.
To assemble the dish, divide cooked rice into 4 large serving bowls; top with spinach mixture, a few pieces of beef, and cucumber mixture. Place 1 egg atop each serving. Drizzle each bowl with 1 teaspoon of sesame oil, a sprinkle of sesame seeds, and a small amount of gochujang paste if desired.
",https://images.media-allrecipes.com/images/77914.jpg?width=420&height=237
Punjabi Chicken in Thick Gravy,90,"['2 tablespoons vegetable oil', '2 tablespoons ghee (clarified butter)', '8 chicken legs, skin removed', '1 teaspoon cumin seeds', '1 onion, finely chopped', '5 cloves garlic, minced', '2 tablespoons minced fresh ginger root', '1 small tomato, coarsely chopped', '1 tablespoon tomato paste', '1 tablespoon garam masala', '1 tablespoon ground turmeric', '1 teaspoon salt, or to taste', '1 serrano chile pepper, seeded and minced', '1 cup water', '1/4 cup chopped fresh cilantro']","Heat the oil and ghee in a large pot over medium heat. Cook the cumin seeds in the oil until the seeds begin to change color.
Stir in chopped onion onion; cook and stir until onion has softened and turned translucent, about 5 minutes. Add the garlic and ginger; continue cooking until the onions brown, about 5 minutes more.
Mix in the chopped tomato, tomato paste, garam masala, turmeric, salt, serrano pepper, and water; simmer 5 minutes. Lay the chicken into the sauce; mix gently to coat the legs. Cover pan and reduce heat to medium-low. Cook until chicken is no longer pink near the bone, about 40 minutes. Garnish with cilantro to serve.
",https://images.media-allrecipes.com/images/55319.jpg?width=170&height=96
Black Chana with Potato,0,"['1 cup dried black chickpeas (garbanzo beans)', '1 1/2 teaspoons salt, divided', '1/2 teaspoon baking soda', '1 quart water', '1 onion, chopped', '1 clove garlic, chopped, or more to taste', '1 (1 inch) piece chopped fresh ginger', '3 tablespoons water', '3 tablespoons vegetable oil', '1/4 teaspoon cumin seeds', '2 pinches asafoetida powder', '4 potatoes, peeled and quartered', '1 teaspoon ground coriander', '1 teaspoon garam masala', '1/4 teaspoon ground turmeric', '1/4 teaspoon cayenne pepper', '2 cups water', '3 tablespoons tamarind paste, or more to taste']","Sort and clean chickpeas and wash them under cold water; drain. Combine chickpeas, 1/2 teaspoon salt, and baking soda in a large bowl; add 1 quart water. Soak chickpeas for 24 hours; drain.
Combine onion, garlic, and ginger in a blender; add 3 tablespoons water. Blend mixture at high speed until a smooth paste forms.
Heat vegetable oil in a 4-quart pot over medium-high heat. Add cumin seeds and asafoetida; cook and stir until asafoetida expands and cumin seeds darken, about 1 minute. Stir onion paste into cumin mixture, taking great care to avoid splattering. Cook and stir mixture until well mixed and fragrant, about 5 minutes.
Stir chickpeas, potatoes, 1 teaspoon salt, coriander, garam masala, turmeric, and cayenne pepper into onion-cumin mixture; add 2 cups water. Bring liquid to a boil and cover pot; reduce heat and gently simmer for 1 hour. Stir tamarind paste into chickpea mixture; cook, stirring occasionally, for 10 minutes more.
",https://images.media-allrecipes.com/userphotos/250x250/3652766.jpg
Korean BBQ Chicken Marinade,25,"['1 cup white sugar', '1 cup soy sauce', '1 cup water', '1 teaspoon onion powder', '1 teaspoon ground ginger', '1 tablespoon lemon juice (optional)', '4 teaspoons hot chile paste (optional)']","In a medium saucepan over high heat, whisk together the sugar, soy sauce, water, onion powder, and ground ginger. Bring to a boil. Reduce heat to low, and simmer 5 minutes.
Remove the mixture from heat, cool, and whisk in lemon juice and hot chile paste. Place chicken in the mixture. Cover, and marinate in the refrigerator at least 4 hours before preparing chicken as desired.
",https://images.media-allrecipes.com/userphotos/250x250/208966.jpg
Tomato Cucumber Kachumbar,25,"['1 cup halved grape tomatoes', '1 cup diced cucumber', '1/2 cup chopped green onions', '1/2 cup chopped fresh cilantro', '1 tablespoon fresh lemon juice', '1 tablespoon chopped fresh mint', 'salt and ground black pepper to taste']","Mix grape tomatoes, cucumber, green onions, cilantro, lemon juice, mint, salt, and pepper together in a large bowl.
",https://images.media-allrecipes.com/userphotos/250x250/4403730.jpg
California Roll Sushi,90,"['1 cup uncooked short-grain white rice', '1 cup water', '1/4 cup rice vinegar', '1 tablespoon white sugar', '1/2 cup imitation crabmeat, finely chopped', '1/4 cup mayonnaise', '8 sheets nori (dry seaweed)', '2 1/2 tablespoons sesame seeds', '1 cucumber, cut into thin spears', '2 avocados - pitted, peeled, and sliced the long way']","Wash the rice in several changes of water until the rinse water is no longer cloudy, drain well, and place in a covered pan or rice cooker with 1 cup water. Bring to a boil, reduce heat to a simmer, and cover the pan. Allow the rice to simmer until the top looks dry, about 15 minutes. Turn off the heat, and let stand for 10 minutes to absorb the rest of the water.
Mix the rice vinegar and sugar in a small bowl until the sugar has dissolved, and stir the mixture into the cooked rice until well combined. Allow the rice to cool, and set aside.
Mix the imitation crabmeat with mayonnaise in a bowl, and set aside. To roll the sushi, cover a bamboo rolling mat with plastic wrap. Lay a sheet of nori, shiny side down, on the plastic wrap. With wet fingers, firmly pat a thin, even layer of prepared rice over the nori, leaving 1/4 inch uncovered at the bottom edge of the sheet. Sprinkle the rice with about 1/2 teaspoon of sesame seeds, and gently press them into the rice. Carefully flip the nori sheet over so the seaweed side is up.
Place 2 or 3 long cucumber spears, 2 or 3 slices of avocado, and about 1 tablespoon of imitation crab mixture in a line across the nori sheet, about 1/4 from the uncovered edge. Pick up the edge of the bamboo rolling sheet, fold the bottom edge of the sheet up, enclosing the filling, and tightly roll the sushi into a cylinder about 1 1/2 inch in diameter. Once the sushi is rolled, wrap it in the mat and gently squeeze to compact it tightly.
Cut each roll into 1 inch pieces with a very sharp knife dipped in water.
",https://images.media-allrecipes.com/userphotos/250x250/907484.jpg
Red Split Lentils (Masoor Dal),138,"['1 cup basmati rice', '7 1/2 cups water, divided', '1 cup red lentils (masoor dal), rinsed', '1/2 cup finely chopped red onion (optional)', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon salt, or to taste', '1/2 teaspoon ground black pepper (optional)', '1/2 teaspoon cayenne powder (optional)', '1/2 teaspoon ground turmeric', '1 cup broccoli florets (optional)', '1 cup diced tomatoes (optional)', '1 cup frozen peas (optional)', '1 tablespoon olive oil, or as needed', '1 cup sliced mushrooms (optional)', '1 tablespoon peeled, finely grated fresh ginger', '2 cloves garlic, finely grated']","Rinse rice in several changes of water and transfer to a container. Cover with water and let soak at room temperature, 15 minutes to 1 hour. Drain.
Combine 6 cups water with red lentils in a large pot over medium heat. Bring to a simmer, skimming any scum that collects on the surface. Stir in onion, cumin, coriander, salt, black pepper, cayenne, and turmeric. Reduce heat to low and simmer, partially covered, until lentils are tender, about 30 minutes.
Stir broccoli, tomatoes, peas, and salt into the pot. Continue cooking, stirring frequently, until lentils are soft, about 30 minutes more.
Combine drained rice with remaining 1 1/2 cup water in another pot; bring to a boil. Reduce heat to very low and simmer, covered with a tight-fitting lid, until rice is tender and liquid is absorbed, about 20 minutes.
Heat oil in a small skillet over medium heat. Add mushrooms, ginger, and garlic; cook and stir until fragrant, 3 to 5 minutes. Pour over lentils; stir to distribute. Cook lentils until flavors combine, about 5 minutes. Serve lentils with rice.
",https://images.media-allrecipes.com/userphotos/250x250/4043180.jpg
Kima,38,"['3 tablespoons butter', '1 cup chopped onion', '1 clove garlic, minced', '1 pound ground beef', '2 tomatoes, chopped', '1 cup frozen peas', '1 tablespoon Masala curry powder', '1 1/2 teaspoons salt', '1 teaspoon paprika', '1/2 teaspoon chili powder', '1 dash ground black pepper', '1/4 cup flaked coconut, or to taste']","Melt butter in a skillet over medium heat. stir in onion and garlic; cook until onion is translucent, 3 to 5 minutes.
Stir beef into onion mixture; cook until crumbly and no longer pink, 5 to 10 minutes. Drain excess fat from beef mixture.
Stir tomatoes, peas, curry powder, salt, paprika, chili powder, and black pepper into beef mixture; cook until thickened, about 20 minutes. Garnish with coconut.
",https://images.media-allrecipes.com/userphotos/250x250/3349573.jpg
Coconut Chutney,25,"['1/2 fresh whole coconut, drained and grated', '1/2 cup plain yogurt', '1 tablespoon vegetable oil', '3 fresh red chili peppers, chopped', '1/2 teaspoon mustard seed', '1/4 teaspoon cumin seeds']","Place the coconut and yogurt in a blender or food processor. Process to a paste-like consistency. Transfer to a medium bowl.
Heat the oil in a medium saucepan over medium heat. Stir in chili peppers, mustard seed, and cumin seeds. Cook until mustard seeds start to pop. Spoon over the coconut mixture. Cover, and refrigerate until serving.
",https://images.media-allrecipes.com/userphotos/250x250/4551087.jpg
Spicy Baked Tofu,105,"['1 serving cooking spray', '1 (12 ounce) package tofu', '2 tablespoons Japanese low-sodium soy sauce', '2 tablespoons Asian chili sauce', '2 tablespoons minced fresh ginger root', '1 1/2 tablespoons hoisin sauce']","Lay the tofu on a plate lined with a couple sheets of paper towel. Layer more paper towel atop tofu and place another plate atop the stack to press water from the tofu. Let sit at least 5 minutes.
Cut tofu into 1/2-inch strips and put into a large, sealable plastic bag; add soy sauce, chili sauce, ginger, and hoisin sauce. Squeeze bag to remove excess air and seal. Marinate tofu in the refrigerator for at least 1 hour.
Preheat oven to 375 degrees F (190 degrees C). Prepare a baking sheet with cooking spray.
Remove tofu from the marinade, shake to remove excess moisture, and arrange onto the prepared baking sheet. Discard the remaining marinade.
Bake in preheated oven for 15 minutes, flip, and continue baking until firm, 15 to 20 minutes more.
",https://images.media-allrecipes.com/userphotos/250x250/2258469.jpg
Tamarind Sauce Fish Curry,50,"['2 pounds white carp, cut into large chunks', '1 tablespoon vegetable oil', '1 tablespoon red chile powder', '1 tablespoon ground turmeric', '1 1/2 teaspoons salt', '1/4 cup tamarind pulp', '1 cup warm water', '1/4 cup oil', '1/2 teaspoon cumin seeds', '1 large onion, minced', '1 1/2 tablespoons garlic paste', '2 tablespoons red chile powder', '2 tablespoons ground coriander', '1 pinch salt to taste', '1 tablespoon chopped fresh coriander (cilantro), or to taste']","Place fish in a bowl; add 1 tablespoon vegetable oil, 1 tablespoon chile powder, turmeric, and 1 1/2 teaspoons salt and allow to marinate for about 10 minutes.
Place tamarind pulp in a bowl and pour warm water over it. Squeeze tamarind to extract juice.
Heat 1/4 cup oil in a skillet over medium heat; add cumin seeds and stir. Add onion to cumin; cook and stir until onion is translucent, 5 to 10 minutes. Add garlic paste and cook for 3 minutes. Add carp, cover the skillet, and cook for 5 minutes.
Mix tamarind juice into fish mixture; bring to a boil. Turn carp pieces; add 2 tablespoons red chile powder, coriander, and salt. Cook over low heat until sauce thickens and oil separates, about 10 minutes. Garnish with coriander leaves.
",https://images.media-allrecipes.com/userphotos/250x250/2655041.jpg
Iranian / Persian Salad Shirazi,20,"['4 ripe tomatoes, seeded and diced', '1 red onion, diced', '2 small English cucumbers, peeled and diced', '3 tablespoons olive oil', 'lemon, juiced', '1 tablespoon dried mint', '1 teaspoon dried dill', '1 teaspoon ground sumac', 'salt and ground black pepper to taste']","Mix tomatoes, red onion, cucumbers, olive oil, lemon juice, mint, dill, sumac, salt, and pepper together in a bowl.
",https://images.media-allrecipes.com/userphotos/250x250/2282013.jpg
Kashmiri Lamb,125,"['4 dried red chile peppers (such as cayenne)', '3 long, green fresh chile peppers (such as Indian Jwala)', '1 teaspoon cumin seeds', '1 teaspoon Kashmiri garam masala', '1 (1 inch) piece fresh ginger root, peeled and grated', '5 cloves garlic, crushed', '1/4 cup dried unsweetened coconut', '3 tomatoes, chopped', '6 tablespoons vegetable oil', '2 large onions, thinly sliced', '2 pounds lamb meat, cut into 1 1/2-inch cubes', 'salt to taste', '1/2 teaspoon ground turmeric', '1 cup plain yogurt', '1/2 teaspoon saffron threads', '20 whole blanched almonds', '1/4 cup chopped fresh cilantro']","Place red chiles, green chiles, cumin seeds, garam masala, ginger, garlic, grated coconut, and tomatoes into a blender; pulse several times to chop, then blend into a smooth paste.
Heat vegetable oil in a large skillet or Dutch oven over medium heat. Stir in onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Reduce heat to medium-low, and continue cooking and stirring until the onion is very tender and golden brown, 10 to 15 minutes more.
Stir the spice paste into the onion and cook and stir until the oil separates from the mixture, about 3 minutes.
Stir in lamb pieces and salt. Cook, stirring frequently over medium-high heat, until the lamb pieces are browned on all sides, about 8 minutes.
Mix in yogurt, saffron, and blanched almonds until well combined.
Reduce the heat to low and simmer, covered, until the meat is tender and the gravy is thick, about 1 hour.
Garnish the curry with chopped cilantro before serving.
",https://images.media-allrecipes.com/userphotos/250x250/811005.jpg
Lamb Korma,85,"['2 1/4 pounds cubed lamb meat', '4 teaspoons olive oil, divided', '1 brown onion, chopped', '1 red potato, peeled and cubed', '1/2 cup curry powder', '1/2 cup water', '1/3 cup coconut milk', '1/3 cup drained canned chickpeas (garbanzo beans)']","Place lamb in a bowl and drizzle 2 teaspoons olive oil over lamb; stir until coated.
Heat remaining 2 teaspoons olive oil in a saucepan over low heat; cook and stir onion until softened, 10 to 15 minutes. Remove saucepan from heat and add potato to onion.
Heat a large skillet over medium heat; cook and stir lamb, working in small batches, until browned, about 5 minutes per batch. Transfer browned lamb to onion mixture.
Stir curry into lamb-onion mixture and cook over medium heat for 1 minute. Add water to lamb-onion mixture and bring to a boil. Reduce heat to low, cover saucepan, and simmer until lamb is cooked through and potatoes are tender, about 45 minutes.
Mix coconut milk and chickpeas into lamb-onion mixture and simmer until heated through, about 5 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/4469168.jpg
Chickpea Curry,40,"['2 tablespoons vegetable oil', '2 onions, minced', '2 cloves garlic, minced', '2 teaspoons fresh ginger root, finely chopped', '6 whole cloves', '2 (2 inch) sticks cinnamon, crushed', '1 teaspoon ground cumin', '1 teaspoon ground coriander', 'salt', '1 teaspoon cayenne pepper', '1 teaspoon ground turmeric', '2 (15 ounce) cans garbanzo beans', '1 cup chopped fresh cilantro']","Heat oil in a large frying pan over medium heat, and fry onions until tender.
Stir in garlic, ginger, cloves, cinnamon, cumin, coriander, salt, cayenne, and turmeric. Cook for 1 minute over medium heat, stirring constantly. Mix in garbanzo beans and their liquid. Continue to cook and stir until all ingredients are well blended and heated through. Remove from heat. Stir in cilantro just before serving, reserving 1 tablespoon for garnish.
",https://images.media-allrecipes.com/userphotos/250x250/163375.jpg
Nuoc Cham (Vietnamese Spicy Dipping Sauce),70,"['3 1/2 fluid ounces water', '6 spicy red chile peppers, seeded and minced', '6 cloves garlic, minced', '1/4 cup fish sauce', '1/4 cup rice vinegar', '1/4 cup white sugar', '1/4 cup lemon juice']","Stir water, chile peppers, garlic, fish sauce, rice vinegar, and sugar together in a saucepan over medium-low heat until sugar dissolves into the liquid; remove from heat and set aside to cool completely, about 1 hour.
Stir lemon juice into the cooled liquid.
",https://images.media-allrecipes.com/userphotos/250x250/3913338.jpg
Baingan Bharta (Eggplant Curry),60,"['1 large eggplant', '2 tablespoons vegetable oil', '1 teaspoon cumin seeds', '1 medium onion, thinly sliced', '1 tablespoon ginger garlic paste', '1 tablespoon curry powder', '1 tomato, diced', '1/2 cup plain yogurt', '1 fresh jalapeno chile pepper, finely chopped', '1 teaspoon salt', '1/4 bunch cilantro, finely chopped']","Preheat oven to 450 degrees F (230 degrees C).
Place eggplant on a medium baking sheet. Bake 20 to 30 minutes in the preheated oven, until tender. Remove from heat, cool, peel, and chop.
Heat oil in a medium saucepan over medium heat. Mix in cumin seeds and onion. Cook and stir until onion is tender.
Mix ginger garlic paste, curry powder, and tomato into the saucepan, and cook about 1 minute. Stir in yogurt. Mix in eggplant and jalapeno pepper, and season with salt. Cover, and cook 10 minutes over high heat. Remove cover, reduce heat to low, and continue cooking about 5 minutes. Garnish with cilantro to serve.
",https://images.media-allrecipes.com/userphotos/250x250/14597.jpg
Bibimbap (Korean Rice With Mixed Vegetables),60,"['1 English cucumber, cut into matchsticks', '1/4 cup gochujang (Korean hot pepper paste)', '1 bunch fresh spinach, cut into thin strips', '1 tablespoon soy sauce', '1 teaspoon olive oil', '2 carrots, cut into matchsticks', '1 clove garlic, minced', '1 pinch red pepper flakes', '1 pound thinly-sliced beef top round steak', '1 teaspoon olive oil', '4 large eggs', '4 cups cooked white rice', '4 teaspoons toasted sesame oil, divided', '1 teaspoon sesame seeds', '2 teaspoons gochujang (Korean hot pepper paste), divided (optional)']","Stir cucumber pieces with 1/4 cup gochujang paste in a bowl; set aside.
Bring about 2 cups of water to a boil in a large nonstick skillet and stir in spinach; cook until spinach is bright green and wilted, 2 to 3 minutes. Drain spinach and squeeze out as much moisture as possible; set spinach aside in a bowl and stir soy sauce into spinach.
Heat 1 teaspoon olive oil in large nonstick skillet and cook and stir carrots until softened, about 3 minutes; stir in garlic and cook just until fragrant, about 1 more minute. Stir in cucumber pieces with gochujang paste; sprinkle with red pepper flakes, and set the mixture aside in a bowl.
Brown beef in a clean nonstick skillet over medium heat, about 5 minutes per side, and set aside. In a separate nonstick skillet, heat 1 more teaspoon olive oil over medium-low heat and fry the eggs just on one side until yolks are runny but whites are firm, 2 to 4 minutes each.
To assemble the dish, divide cooked rice into 4 large serving bowls; top with spinach mixture, a few pieces of beef, and cucumber mixture. Place 1 egg atop each serving. Drizzle each bowl with 1 teaspoon of sesame oil, a sprinkle of sesame seeds, and a small amount of gochujang paste if desired.
",https://images.media-allrecipes.com/userphotos/250x250/3961066.jpg
Peanut Butter Noodles,25,"['1/2 cup chicken broth', '1 1/2 tablespoons minced fresh ginger root', '3 tablespoons soy sauce', '3 tablespoons peanut butter', '1 1/2 tablespoons honey', '2 teaspoons hot chile paste (optional)', '3 cloves garlic, minced', '8 ounces Udon noodles', '1/4 cup chopped green onions', '1/4 cup chopped peanuts']","Bring a large pot of water to a boil. Add noodles and cook until tender according to package directions. Drain.
Meanwhile, combine chicken broth, ginger, soy sauce, peanut butter, honey, chili paste, and garlic in a small saucepan. Cook over medium heat until peanut butter melts and is heated through. Add noodles, and toss to coat. Garnish with green onions and peanuts.
",https://images.media-allrecipes.com/userphotos/250x250/422062.jpg
Aloo Phujia,30,"['1 onion, chopped', '1/4 cup vegetable oil', '1 pound potatoes, peeled and cubed', '1 teaspoon salt', '1/2 teaspoon cayenne pepper', '1/2 teaspoon ground turmeric', '1/4 teaspoon ground cumin', '2 tomatoes, chopped']","Lightly brown onion in oil in a medium size skillet.
Stir in salt, cayenne, turmeric and cumin. Add potatoes and cook 10 minutes stirring occasionally.
Add tomatoes, cover pan and cook until potatoes are soft, about 10 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/695663.jpg
Indian Tandoori Chicken,0,"['2 pounds chicken, cut into pieces', '1 teaspoon salt', '1 lemon, juiced', '1 1/4 cups plain yogurt', '1/2 onion, finely chopped', '1 clove garlic, minced', '1 teaspoon grated fresh ginger root', '2 teaspoons garam masala', '1 teaspoon cayenne pepper', '1 teaspoon yellow food coloring', '1 teaspoon red food coloring', '2 teaspoons finely chopped cilantro', '1 lemon, cut into wedges']","Remove skin from chicken pieces, and cut slits into them lengthwise. Place in a shallow dish. Sprinkle both sides of chicken with salt and lemon juice. Set aside 20 minutes.
In a medium bowl, combine yogurt, onion, garlic, ginger, garam masala, and cayenne pepper. Mix until smooth. Stir in yellow and red food coloring. Spread yogurt mixture over chicken. Cover, and refrigerate for 6 to 24 hours (the longer the better).
Preheat an outdoor grill for medium high heat, and lightly oil grate.
Cook chicken on grill until no longer pink and juices run clear. Garnish with cilantro and lemon wedges.
",https://images.media-allrecipes.com/userphotos/250x250/419396.jpg
Grilled Chicken Thighs Tandoori,535,"['2 (6 ounce) containers plain yogurt', '2 teaspoons kosher salt', '1 teaspoon black pepper', '1/2 teaspoon ground cloves', '2 tablespoons freshly grated ginger', '3 cloves garlic, minced', '4 teaspoons paprika', '2 teaspoons ground cumin', '2 teaspoons ground cinnamon', '2 teaspoons ground coriander', '16 chicken thighs', 'olive oil spray']","In a medium bowl, stir together yogurt, salt, pepper, cloves, and ginger. Mix in garlic, paprika, cumin, cinnamon, and coriander. Set aside.
Rinse chicken under cold water, and pat dry with paper towels. Place chicken in a large resealable plastic bag. Pour yogurt mixture over chicken, press air out of bag, and seal. Turn the bag over several times to distribute marinade. Place bag in a bowl, and refrigerate 8 hours, or overnight, turning bag occasionally.
Preheat an outdoor grill for direct medium heat.
Remove chicken from bag, and discard marinade. With paper towels, wipe off excess marinade. Spray chicken pieces with olive oil spray.
Place chicken on the grill, and cook about 2 minutes. Turn, and cook 2 minutes more. Then arrange the chicken to receive indirect heat, and cook approximately 35 to 40 minutes, to an internal temperature of 180 degrees F.
",https://images.media-allrecipes.com/userphotos/250x250/122209.jpg
Chicken Korma II,60,"['1/4 cup cashew halves', '1/4 cup boiling water', '3 cloves garlic, peeled', '1 (1/2 inch) piece fresh ginger root, peeled and chopped', '3 tablespoons vegetable oil', '2 bay leaves, crumbled', '1 large onion, minced', '1 teaspoon ground coriander', '1 teaspoon garam masala', '1 teaspoon ground cumin', '1 teaspoon ground turmeric', '1 teaspoon chili powder', '3 skinless, boneless chicken breast halves - diced', '1/4 cup tomato sauce', '1 cup chicken broth', '1/2 cup heavy cream', '1/2 cup plain yogurt', '1 teaspoon cornstarch, mixed with equal parts water']","Place cashews in a small bowl, and pour the boiling water over nuts. Set aside for 15 to 20 minutes. Place garlic and ginger in food processor and blend until smooth; set aside.
Heat oil in wok over medium heat. Cook the bay leaves in hot oil for 30 seconds. Stir in onion, and cook until soft, about 3 to 5 minutes. Mix in garlic/ginger paste, and season with coriander, garam masala, cumin, turmeric, and chili powder. Stir in chicken, and cook for about 5 minutes. Pour in tomato sauce and chicken broth. Cover, reduce heat, and simmer for 15 minutes, stirring occasionally.
Meanwhile, place the cashews, along with the water in which they were soaked, and the cream and yogurt into food processor. Process until smooth.
Stir the cashew mixture into the chicken and onions. Simmer for 15 minutes, stirring occasionally. Stir in the cornstarch mixture, and continue cooking for 1 to 2 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/42948.jpg
Traditional Mexican Guacamole,10,"['2 avocados, peeled and pitted', '1 cup chopped tomatoes', '1/4 cup chopped onion', '1/4 cup chopped cilantro', '2 tablespoons lemon juice', '1 jalapeno pepper, seeded and minced (optional)', 'salt and ground black pepper to taste']","Mash avocados in a bowl until creamy.
Mix tomatoes, onion, cilantro, lemon juice, and jalapeno pepper into mashed avocado until well combined; season with salt and black pepper.
",https://images.media-allrecipes.com/images/54776.jpg?width=170&height=96
Spicy Chicken and Hominy Mexican Soup,70,"['1 tablespoon olive oil', '2 chicken breasts, cut into 1-inch pieces', '1 small onion, chopped', '2 chipotle peppers in adobo sauce, seeded and diced', '2 cloves garlic, minced', '1 pinch garlic salt, or to taste', '1 (32 ounce) can enchilada sauce', '2 (16 ounce) cans hominy', '1 (15 ounce) can diced tomatoes', '1 (15 ounce) can black beans, rinsed and drained', '1 1/2 cups water', '2 tablespoons chili powder', '1 tablespoon ground cumin', '1 teaspoon dried oregano', '1 pinch cayenne pepper', 'salt and ground black pepper to taste', '1/4 cup chopped cilantro']","Heat oil in a large pot over medium-high heat. Add chicken, onion, chipotle peppers, garlic, and garlic salt; cook and stir until lightly browned, 5 to 8 minutes.
Stir enchilada sauce, hominy, tomatoes, black beans, and water into the pot. Season with chili powder, cumin, oregano, cayenne pepper, salt, and pepper. Bring to a gentle boil. Cover and simmer until flavors combine, about 40 minutes. Garnish with cilantro.
",https://images.media-allrecipes.com/userphotos/250x250/4418848.jpg
Agua Fresca de Pepino (Cucumber Limeade),5,"['5 cups water, or to taste', '3 cucumbers, peeled and chopped', '1/2 cup freshly squeezed lime juice', '1/4 cup granular sucralose sweetener (such as Splenda®), or to taste']","Blend 2 cups water, cucumbers, lime juice, and 2 tablespoons sweetener together in a blender until smooth. Pour into pitcher; add remaining water. Stir in additional sweetener to taste.
",https://images.media-allrecipes.com/userphotos/250x250/3392023.jpg
